period,"South Africa – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly (OECD/MEI/ZAF.LRUNTTTT.STSA.Q)"
2000-Q3,23.2740390595845
2001-Q1,24.6229033425848
2001-Q3,26.1574513902084
2002-Q1,27.7339278182804
2002-Q3,26.6170683718642
2003-Q1,29.3312333414102
2003-Q3,24.8145353954483
2004-Q1,26.3548025414227
2004-Q3,22.977895001256
2005-Q1,24.2104625083348
2005-Q3,23.4855599906081
2006-Q1,23.1345450322281
2006-Q3,22.1019473081329
2007-Q1,23.6127035083696
2007-Q3,21.0306406685237
2008-Q1,22.8219480404577
2008-Q2,22.5538268927817
2008-Q3,22.8981395614677
2008-Q4,21.9250828779593
2009-Q1,22.727544154305
2009-Q2,23.1335799053768
2009-Q3,24.4164511769916
2009-Q4,24.461226219927
2010-Q1,24.7913771841702
2010-Q2,24.9358302198696
2010-Q3,25.3865240440236
2010-Q4,24.3692539865837
2011-Q1,24.6599807538256
2011-Q2,25.3909785214977
2011-Q3,24.901388356042
2011-Q4,24.1921134388398
2012-Q1,24.8656643537469
2012-Q2,24.7050042977559
2012-Q3,25.0637581031136
2012-Q4,24.8426993695617
2013-Q1,24.8379805271574
2013-Q2,25.1929767576599
2013-Q3,24.4110281920561
2013-Q4,24.5183105807204
2014-Q1,24.937327837993
2014-Q2,25.3849092003207
2014-Q3,25.3421939658416
2014-Q4,24.6533528672512
2015-Q1,26.0641319097698
2015-Q2,25.0446162772113
2015-Q3,25.4421797374679
2015-Q4,24.8374316237066
2016-Q1,26.4793824811961
2016-Q2,26.6727435327761
2016-Q3,26.9533738874647
2016-Q4,26.7504936762379
2017-Q1,27.4562738413507
2017-Q2,27.8660623976836
2017-Q3,27.5741490111913
2017-Q4,26.9349764195523
2018-Q1,26.5660140404081
2018-Q2,27.4144440706493
2018-Q3,27.2682437997323
2018-Q4,27.2587973896602
2019-Q1,27.4662052796707
2019-Q2,29.4952826256097
2019-Q3,28.9957219099562
2019-Q4,28.7804057788815
2020-Q1,29.7617354281925
2020-Q2,24.3244310932132
2020-Q3,30.7793223556453
2020-Q4,32.120307035353
2021-Q1,32.1722185243223
2021-Q2,34.8532350212506
2021-Q3,34.7472091449616
2021-Q4,35.2601964491193
2022-Q1,34.2225565080402
2022-Q2,34.3013387979445
2022-Q3,32.8106692904174
2022-Q4,32.7259728646338
2023-Q1,32.5442241217081
2023-Q2,32.857493514379
2023-Q3,31.8461748668089
